word,score,softmax,sentiment
เริ่มต้น,0.9309,"[0.0612, 0.9309, 0.0079]",Neutral
shone,0.882,"[0.0907, 0.882, 0.0273]",Neutral
อัปเกรด,0.9502,"[0.0316, 0.9502, 0.0182]",Neutral
เปน,0.9311,"[0.045, 0.9311, 0.0238]",Neutral
chromic,0.9122,"[0.0509, 0.9122, 0.0369]",Neutral
shield,0.9288,"[0.0481, 0.9288, 0.0231]",Neutral
ความทนทาน,0.8644,"[0.0948, 0.8644, 0.0409]",Neutral
ผ่านการทดสอบ,0.9316,"[0.0559, 0.9316, 0.0125]",Neutral
black,0.9186,"[0.0543, 0.9186, 0.0271]",Neutral
trip,0.8248,"[0.1592, 0.8248, 0.016]",Neutral
com,0.9611,"[0.0307, 0.9611, 0.0081]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
ลุก,0.8367,"[0.152, 0.8367, 0.0113]",Neutral
รวบ,0.926,"[0.0598, 0.926, 0.0141]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
เถือ,0.8846,"[0.0875, 0.8846, 0.0279]",Neutral
per,0.9446,"[0.0423, 0.9446, 0.0131]",Neutral
week,0.9165,"[0.0698, 0.9165, 0.0137]",Neutral
limited,0.9356,"[0.054, 0.9356, 0.0104]",Neutral
time,0.9035,"[0.076, 0.9035, 0.0205]",Neutral
pale,0.8686,"[0.1133, 0.8686, 0.0181]",Neutral
lifestyle,0.9307,"[0.046, 0.9307, 0.0233]",Neutral
best,0.7419,"[0.232, 0.7419, 0.0261]",Neutral
price,0.9261,"[0.0547, 0.9261, 0.0192]",Neutral
big,0.9439,"[0.043, 0.9439, 0.0131]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
shop,0.9414,"[0.0477, 0.9414, 0.0109]",Neutral
เปีด,0.8638,"[0.123, 0.8638, 0.0132]",Neutral
real,0.9367,"[0.0503, 0.9367, 0.013]",Neutral
estate,0.9345,"[0.0454, 0.9345, 0.0201]",Neutral
agent,0.9643,"[0.0203, 0.9643, 0.0153]",Neutral
โอกาส,0.94,"[0.04, 0.94, 0.0199]",Neutral
สร้าง,0.953,"[0.0324, 0.953, 0.0146]",Neutral
รายได้,0.9208,"[0.0465, 0.9208, 0.0327]",Neutral
หลัก,0.9617,"[0.0275, 0.9617, 0.0107]",Neutral
แสน,0.9053,"[0.0657, 0.9053, 0.0291]",Neutral
เดือน,0.9313,"[0.0576, 0.9313, 0.0111]",Neutral
ครึ่ง,0.92,"[0.0668, 0.92, 0.0132]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
sides,0.9262,"[0.0515, 0.9262, 0.0223]",Neutral
best,0.7419,"[0.232, 0.7419, 0.0261]",Neutral
surprise,0.9269,"[0.0555, 0.9269, 0.0176]",Neutral
line,0.967,"[0.025, 0.967, 0.0079]",Neutral
twelve,0.9113,"[0.065, 0.9113, 0.0237]",Neutral
shirt,0.9153,"[0.0569, 0.9153, 0.0278]",Neutral
ผ่อน,0.9487,"[0.0418, 0.9487, 0.0094]",Neutral
ครั้งแรก,0.7453,"[0.2367, 0.7453, 0.018]",Neutral
ริบ,0.8701,"[0.0965, 0.8701, 0.0334]",Neutral
voucher,0.9176,"[0.0691, 0.9176, 0.0134]",Neutral
มูลค่า,0.9286,"[0.0564, 0.9286, 0.015]",Neutral
scott,0.8888,"[0.074, 0.8888, 0.0372]",Neutral
set,0.9306,"[0.0624, 0.9306, 0.007]",Neutral
ตลาดหลักทรัพย์,0.9639,"[0.0221, 0.9639, 0.014]",Neutral
สัญจร,0.9559,"[0.0338, 0.9559, 0.0103]",Neutral
นครราชสีมา,0.9512,"[0.0438, 0.9512, 0.005]",Neutral
ครบเครื่อง,0.6444,"[0.3385, 0.6444, 0.0172]",Neutral
เรื่อง,0.5014,"[0.5014, 0.4805, 0.0181]",Neutral
ภุน,0.917,"[0.0781, 0.917, 0.0049]",Neutral
sugar,0.9095,"[0.061, 0.9095, 0.0295]",Neutral
brandy,0.9421,"[0.041, 0.9421, 0.0169]",Neutral
โค้ด,0.9621,"[0.0344, 0.9621, 0.0035]",Neutral
malt,0.9261,"[0.0536, 0.9261, 0.0203]",Neutral
อร่อย,0.9607,"[0.9607, 0.0152, 0.0241]",Positive
บูสต์ฟลค้วย,0.8551,"[0.0918, 0.8551, 0.053]",Neutral
fresh,0.867,"[0.1169, 0.867, 0.0161]",Neutral
กระ,0.95,"[0.0446, 0.95, 0.0054]",Neutral
หนำ,0.7827,"[0.2083, 0.7827, 0.0091]",Neutral
นาที,0.9207,"[0.0676, 0.9207, 0.0117]",Neutral
sip,0.9027,"[0.0685, 0.9027, 0.0288]",Neutral
แก้ว,0.9434,"[0.0535, 0.9434, 0.0031]",Neutral
pre,0.956,"[0.0348, 0.956, 0.0092]",Neutral
อ่าน,0.8453,"[0.144, 0.8453, 0.0106]",Neutral
swim,0.9253,"[0.0529, 0.9253, 0.0219]",Neutral
malbrook,0.8849,"[0.0901, 0.8849, 0.0251]",Neutral
air,0.9235,"[0.0643, 0.9235, 0.0121]",Neutral
ชิป,0.8428,"[0.1351, 0.8428, 0.0221]",Neutral
เรือง,0.9337,"[0.0451, 0.9337, 0.0212]",Neutral
กิน,0.5865,"[0.4054, 0.5865, 0.0081]",Neutral
เฟรนช์,0.8979,"[0.0934, 0.8979, 0.0087]",Neutral
ฟรายส์,0.79,"[0.1369, 0.79, 0.0731]",Neutral
ปาร์,0.8581,"[0.1372, 0.8581, 0.0046]",Neutral
เซซ์,0.8832,"[0.0988, 0.8832, 0.018]",Neutral
apple,0.9532,"[0.0311, 0.9532, 0.0158]",Neutral
norm,0.9107,"[0.0669, 0.9107, 0.0224]",Neutral
business,0.9571,"[0.028, 0.9571, 0.015]",Neutral
manager,0.9493,"[0.0341, 0.9493, 0.0167]",Neutral
ปลดล็อก,0.9113,"[0.0738, 0.9113, 0.0148]",Neutral
พลัง,0.935,"[0.0557, 0.935, 0.0093]",Neutral
ข้อมูล,0.9763,"[0.0161, 0.9763, 0.0076]",Neutral
เชือม,0.8397,"[0.143, 0.8397, 0.0172]",Neutral
กลุ่มเป้าหมาย,0.961,"[0.0286, 0.961, 0.0104]",Neutral
line,0.967,"[0.025, 0.967, 0.0079]",Neutral
ecosystem,0.9608,"[0.0268, 0.9608, 0.0124]",Neutral
line,0.967,"[0.025, 0.967, 0.0079]",Neutral
ใส่,0.8946,"[0.0886, 0.8946, 0.0168]",Neutral
โค้ด,0.9621,"[0.0344, 0.9621, 0.0035]",Neutral
linen,0.9488,"[0.0388, 0.9488, 0.0124]",Neutral
รับเงิน,0.8956,"[0.0914, 0.8956, 0.013]",Neutral
คืน,0.8862,"[0.0489, 0.8862, 0.0648]",Neutral
รวบ,0.926,"[0.0598, 0.926, 0.0141]",Neutral
แว้,0.8202,"[0.1595, 0.8202, 0.0203]",Neutral
รอง,0.9216,"[0.0725, 0.9216, 0.0059]",Neutral
แสง,0.9026,"[0.0778, 0.9026, 0.0195]",Neutral
โหด,0.6524,"[0.0674, 0.6524, 0.2802]",Neutral
ยักษ์,0.9554,"[0.0401, 0.9554, 0.0044]",Neutral
อ่าน,0.8453,"[0.144, 0.8453, 0.0106]",Neutral
academic,0.9566,"[0.023, 0.9566, 0.0204]",Neutral
entrance,0.9473,"[0.0358, 0.9473, 0.0169]",Neutral
scholarship,0.95,"[0.0271, 0.95, 0.0229]",Neutral
เค่ม,0.8244,"[0.1664, 0.8244, 0.0091]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
discount,0.9422,"[0.037, 0.9422, 0.0208]",Neutral
onto,0.8769,"[0.1058, 0.8769, 0.0172]",Neutral
เสิริฟ,0.8357,"[0.1278, 0.8357, 0.0365]",Neutral
อร่อย,0.9607,"[0.9607, 0.0152, 0.0241]",Positive
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
summersale,0.9125,"[0.0771, 0.9125, 0.0104]",Neutral
leg,0.9306,"[0.0518, 0.9306, 0.0176]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
may,0.905,"[0.0836, 0.905, 0.0114]",Neutral
summer,0.8714,"[0.113, 0.8714, 0.0156]",Neutral
black,0.9186,"[0.0543, 0.9186, 0.0271]",Neutral
coffee,0.8823,"[0.098, 0.8823, 0.0197]",Neutral
steam,0.9488,"[0.0298, 0.9488, 0.0214]",Neutral
grown,0.9296,"[0.0491, 0.9296, 0.0214]",Neutral
กรับ,0.907,"[0.0851, 0.907, 0.0079]",Neutral
เครดิต,0.9083,"[0.083, 0.9083, 0.0087]",Neutral
เงิน,0.926,"[0.0487, 0.926, 0.0253]",Neutral
คืน,0.8862,"[0.0489, 0.8862, 0.0648]",Neutral
central,0.9355,"[0.0532, 0.9355, 0.0113]",Neutral
ram,0.9458,"[0.0443, 0.9458, 0.0099]",Neutral
special,0.931,"[0.0588, 0.931, 0.0101]",Neutral
สิทธิ์,0.9678,"[0.0225, 0.9678, 0.0097]",Neutral
รางวัล,0.9261,"[0.0691, 0.9261, 0.0048]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
cash,0.9452,"[0.0359, 0.9452, 0.0189]",Neutral
central,0.9355,"[0.0532, 0.9355, 0.0113]",Neutral
ram,0.9458,"[0.0443, 0.9458, 0.0099]",Neutral
everpink,0.9038,"[0.0679, 0.9038, 0.0282]",Neutral
get,0.835,"[0.1448, 0.835, 0.0202]",Neutral
free,0.9104,"[0.0635, 0.9104, 0.0261]",Neutral
membercad,0.9599,"[0.025, 0.9599, 0.0151]",Neutral
mien,0.8908,"[0.0911, 0.8908, 0.0182]",Neutral
woman,0.9176,"[0.0584, 0.9176, 0.024]",Neutral
shoe,0.9298,"[0.0466, 0.9298, 0.0236]",Neutral
กรานต์ะ,0.756,"[0.2375, 0.756, 0.0065]",Neutral
ลดราคา,0.8512,"[0.1328, 0.8512, 0.016]",Neutral
everpink,0.9038,"[0.0679, 0.9038, 0.0282]",Neutral
ย่าน,0.8016,"[0.1723, 0.8016, 0.0261]",Neutral
เอกมัย,0.9076,"[0.0852, 0.9076, 0.0072]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
วิธี,0.9545,"[0.0385, 0.9545, 0.007]",Neutral
มีนา,0.9237,"[0.0679, 0.9237, 0.0084]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
จี้,0.847,"[0.1456, 0.847, 0.0075]",Neutral
ทัง,0.9152,"[0.0779, 0.9152, 0.0069]",Neutral
เดือน,0.9313,"[0.0576, 0.9313, 0.0111]",Neutral
piece,0.9007,"[0.0813, 0.9007, 0.018]",Neutral
ปปร,0.9277,"[0.0548, 0.9277, 0.0175]",Neutral
จิง,0.7861,"[0.1858, 0.7861, 0.0281]",Neutral
sea,0.8905,"[0.0864, 0.8905, 0.0231]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
แถม,0.652,"[0.3073, 0.652, 0.0407]",Neutral
คุม,0.9252,"[0.053, 0.9252, 0.0219]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
สินค้า,0.9745,"[0.0206, 0.9745, 0.0049]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
ชือ,0.9392,"[0.0561, 0.9392, 0.0046]",Neutral
สินค้า,0.9745,"[0.0206, 0.9745, 0.0049]",Neutral
double,0.9128,"[0.0709, 0.9128, 0.0163]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
rate,0.9423,"[0.0419, 0.9423, 0.0159]",Neutral
challenge,0.8662,"[0.1085, 0.8662, 0.0253]",Neutral
creator,0.9596,"[0.0256, 0.9596, 0.0148]",Neutral
ปปร,0.9277,"[0.0548, 0.9277, 0.0175]",Neutral
จิง,0.7861,"[0.1858, 0.7861, 0.0281]",Neutral
rose,0.8925,"[0.0919, 0.8925, 0.0156]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
แถม,0.652,"[0.3073, 0.652, 0.0407]",Neutral
school,0.9399,"[0.0424, 0.9399, 0.0177]",Neutral
กลับมา,0.7482,"[0.2299, 0.7482, 0.022]",Neutral
workshop,0.9104,"[0.0687, 0.9104, 0.0209]",Neutral
bangkok,0.9034,"[0.0842, 0.9034, 0.0123]",Neutral
วัคซีน,0.9761,"[0.0192, 0.9761, 0.0047]",Neutral
fresh,0.867,"[0.1169, 0.867, 0.0161]",Neutral
ปัก,0.7719,"[0.2174, 0.7719, 0.0107]",Neutral
หมุด,0.8636,"[0.1273, 0.8636, 0.0091]",Neutral
soft,0.8995,"[0.0728, 0.8995, 0.0277]",Neutral
เสื้อผ้า,0.9286,"[0.0536, 0.9286, 0.0178]",Neutral
หอม,0.6642,"[0.6642, 0.3112, 0.0246]",Positive
fresh,0.867,"[0.1169, 0.867, 0.0161]",Neutral
soft,0.8995,"[0.0728, 0.8995, 0.0277]",Neutral
พิกัด,0.9233,"[0.0733, 0.9233, 0.0034]",Neutral
festival,0.9181,"[0.0679, 0.9181, 0.014]",Neutral
free,0.9104,"[0.0635, 0.9104, 0.0261]",Neutral
cleaning,0.8893,"[0.0881, 0.8893, 0.0227]",Neutral
service,0.9346,"[0.0433, 0.9346, 0.0221]",Neutral
sweet,0.8369,"[0.1473, 0.8369, 0.0158]",Neutral
dream,0.9272,"[0.056, 0.9272, 0.0168]",Neutral
lucky,0.9157,"[0.0755, 0.9157, 0.0088]",Neutral
draw,0.9317,"[0.0462, 0.9317, 0.0221]",Neutral
ฬิงเกอร์,0.8833,"[0.1081, 0.8833, 0.0086]",Neutral
ราคา,0.9304,"[0.0644, 0.9304, 0.0052]",Neutral
told,0.8721,"[0.08, 0.8721, 0.0479]",Neutral
advice,0.9633,"[0.0193, 0.9633, 0.0174]",Neutral
ผ่อน,0.9487,"[0.0418, 0.9487, 0.0094]",Neutral
next,0.9427,"[0.0444, 0.9427, 0.013]",Neutral
extra,0.9415,"[0.0478, 0.9415, 0.0107]",Neutral
pay,0.9377,"[0.0411, 0.9377, 0.0212]",Neutral
หลัก,0.9617,"[0.0275, 0.9617, 0.0107]",Neutral
มาร์,0.9429,"[0.0455, 0.9429, 0.0115]",Neutral
สอบ,0.9187,"[0.0705, 0.9187, 0.0108]",Neutral
toxic,0.8856,"[0.0062, 0.1082, 0.8856]",Negative
logilech,0.9209,"[0.0604, 0.9209, 0.0186]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
risk,0.9459,"[0.0369, 0.9459, 0.0172]",Neutral
high,0.9203,"[0.0555, 0.9203, 0.0241]",Neutral
return,0.9343,"[0.0496, 0.9343, 0.016]",Neutral
high,0.9203,"[0.0555, 0.9203, 0.0241]",Neutral
trade,0.9392,"[0.0447, 0.9392, 0.0161]",Neutral
studio,0.9277,"[0.0612, 0.9277, 0.011]",Neutral
ดูดี,0.5463,"[0.4043, 0.5463, 0.0494]",Neutral
มุม,0.8713,"[0.1127, 0.8713, 0.016]",Neutral
เอฟ,0.9284,"[0.0665, 0.9284, 0.0052]",Neutral
เฟิกต์,0.9034,"[0.0889, 0.9034, 0.0078]",Neutral
สตูดิโอ,0.957,"[0.0376, 0.957, 0.0054]",Neutral
window,0.8817,"[0.0736, 0.8817, 0.0447]",Neutral
ค่า,0.8795,"[0.1172, 0.8795, 0.0033]",Neutral
happy,0.594,"[0.594, 0.3903, 0.0157]",Positive
hour,0.9136,"[0.0746, 0.9136, 0.0118]",Neutral
ascii,0.9346,"[0.0477, 0.9346, 0.0178]",Neutral
tower,0.8143,"[0.1612, 0.8143, 0.0245]",Neutral
ascii,0.9346,"[0.0477, 0.9346, 0.0178]",Neutral
ปกติ,0.8979,"[0.044, 0.8979, 0.0581]",Neutral
free,0.9104,"[0.0635, 0.9104, 0.0261]",Neutral
แก้ว,0.9434,"[0.0535, 0.9434, 0.0031]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
สลัก,0.9253,"[0.0686, 0.9253, 0.0061]",Neutral
ชือ,0.9392,"[0.0561, 0.9392, 0.0046]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
gen,0.9645,"[0.0278, 0.9645, 0.0077]",Neutral
gage,0.9212,"[0.0632, 0.9212, 0.0156]",Neutral
overcoat,0.9338,"[0.0364, 0.9338, 0.0299]",Neutral
sac,0.9606,"[0.03, 0.9606, 0.0094]",Neutral
แก้ว,0.9434,"[0.0535, 0.9434, 0.0031]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
ใส่,0.8946,"[0.0886, 0.8946, 0.0168]",Neutral
โค้ด,0.9621,"[0.0344, 0.9621, 0.0035]",Neutral
linen,0.9488,"[0.0388, 0.9488, 0.0124]",Neutral
เมนู,0.8681,"[0.1279, 0.8681, 0.004]",Neutral
ถัง,0.9313,"[0.0612, 0.9313, 0.0075]",Neutral
สัง,0.8854,"[0.1081, 0.8854, 0.0065]",Neutral
รีวิว,0.8978,"[0.0876, 0.8978, 0.0146]",Neutral
popmath,0.9236,"[0.053, 0.9236, 0.0234]",Neutral
kit,0.9083,"[0.0771, 0.9083, 0.0146]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
inst,0.9549,"[0.0293, 0.9549, 0.0159]",Neutral
think,0.8918,"[0.0848, 0.8918, 0.0234]",Neutral
bold,0.9267,"[0.0463, 0.9267, 0.027]",Neutral
inst,0.9549,"[0.0293, 0.9549, 0.0159]",Neutral
ชี้,0.8448,"[0.143, 0.8448, 0.0122]",Neutral
เป้า,0.9531,"[0.0383, 0.9531, 0.0085]",Neutral
office,0.9424,"[0.0415, 0.9424, 0.0161]",Neutral
ราคา,0.9304,"[0.0644, 0.9304, 0.0052]",Neutral
สวน,0.9199,"[0.072, 0.9199, 0.0081]",Neutral
summer,0.8714,"[0.113, 0.8714, 0.0156]",Neutral
body,0.9259,"[0.0536, 0.9259, 0.0205]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
ทดลอง,0.949,"[0.0419, 0.949, 0.009]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
yes,0.8634,"[0.1196, 0.8634, 0.017]",Neutral
store,0.9483,"[0.0352, 0.9483, 0.0165]",Neutral
watch,0.9355,"[0.0504, 0.9355, 0.0141]",Neutral
ควบคุม,0.9549,"[0.0218, 0.9549, 0.0233]",Neutral
กิจกรรม,0.9698,"[0.0266, 0.9698, 0.0036]",Neutral
ข้อมือ,0.9351,"[0.0593, 0.9351, 0.0056]",Neutral
อายุ,0.943,"[0.0451, 0.943, 0.0119]",Neutral
ผิว,0.7454,"[0.2013, 0.7454, 0.0534]",Neutral
หนัา,0.8532,"[0.1403, 0.8532, 0.0064]",Neutral
ขือ,0.9202,"[0.0749, 0.9202, 0.0049]",Neutral
รากฟัน,0.9547,"[0.0253, 0.9547, 0.02]",Neutral
เทียม,0.9402,"[0.0401, 0.9402, 0.0196]",Neutral
ครอบ,0.9559,"[0.0353, 0.9559, 0.0089]",Neutral
ฟืน,0.943,"[0.0399, 0.943, 0.0171]",Neutral
เชรา,0.8266,"[0.1551, 0.8266, 0.0183]",Neutral
march,0.9237,"[0.0645, 0.9237, 0.0118]",Neutral
salt,0.8884,"[0.0796, 0.8884, 0.0321]",Neutral
บ้าน,0.9425,"[0.051, 0.9425, 0.0066]",Neutral
ครุศาสตร์,0.9724,"[0.0188, 0.9724, 0.0088]",Neutral
จุฬาฯ,0.9667,"[0.025, 0.9667, 0.0083]",Neutral
ร้อย,0.9181,"[0.0599, 0.9181, 0.022]",Neutral
เหม,0.866,"[0.1248, 0.866, 0.0092]",Neutral
เสิน,0.8779,"[0.1131, 0.8779, 0.0089]",Neutral
ลัพธ,0.9428,"[0.044, 0.9428, 0.0132]",Neutral
ผู้ใช้,0.9729,"[0.0158, 0.9729, 0.0113]",Neutral
อิ่ม,0.6399,"[0.3341, 0.6399, 0.026]",Neutral
น้ำ,0.9428,"[0.0523, 0.9428, 0.0049]",Neutral
mesofat,0.9136,"[0.0665, 0.9136, 0.0199]",Neutral
สลาย,0.8759,"[0.0403, 0.8759, 0.0838]",Neutral
ไขมัน,0.9512,"[0.0354, 0.9512, 0.0134]",Neutral
จุด,0.9454,"[0.0478, 0.9454, 0.0067]",Neutral
สะสม,0.8846,"[0.0974, 0.8846, 0.018]",Neutral
ไขมัน,0.9512,"[0.0354, 0.9512, 0.0134]",Neutral
เรียว,0.8237,"[0.1652, 0.8237, 0.0111]",Neutral
แผง,0.9691,"[0.0253, 0.9691, 0.0055]",Neutral
ultrafarmer,0.9606,"[0.0272, 0.9606, 0.0122]",Neutral
ยู้,0.8602,"[0.1283, 0.8602, 0.0115]",Neutral
ธับ,0.8721,"[0.1202, 0.8721, 0.0077]",Neutral
samgiftcard,0.9517,"[0.0397, 0.9517, 0.0086]",Neutral
เปลียน,0.8398,"[0.0762, 0.8398, 0.084]",Neutral
หน้า,0.9249,"[0.0648, 0.9249, 0.0103]",Neutral
fix,0.9513,"[0.028, 0.9513, 0.0207]",Neutral
หน้า,0.9249,"[0.0648, 0.9249, 0.0103]",Neutral
ละมุน,0.8037,"[0.8037, 0.1826, 0.0136]",Positive
lift,0.9012,"[0.0716, 0.9012, 0.0272]",Neutral
chair,0.9163,"[0.0725, 0.9163, 0.0112]",Neutral
body,0.9259,"[0.0536, 0.9259, 0.0205]",Neutral
body,0.9259,"[0.0536, 0.9259, 0.0205]",Neutral
ความสำเร็จ,0.8947,"[0.0896, 0.8947, 0.0157]",Neutral
ธวน,0.9109,"[0.0777, 0.9109, 0.0114]",Neutral
ความรู้,0.9536,"[0.0341, 0.9536, 0.0123]",Neutral
venice,0.9478,"[0.0423, 0.9478, 0.0099]",Neutral
สนใจ,0.5958,"[0.3992, 0.5958, 0.0051]",Neutral
bow,0.8953,"[0.0905, 0.8953, 0.0143]",Neutral
คลิก,0.875,"[0.1194, 0.875, 0.0056]",Neutral
xxx,0.9159,"[0.0566, 0.9159, 0.0275]",Neutral
แถม,0.652,"[0.3073, 0.652, 0.0407]",Neutral
therapy,0.955,"[0.0272, 0.955, 0.0178]",Neutral
sculpture,0.9194,"[0.0468, 0.9194, 0.0339]",Neutral
outlook,0.9168,"[0.0475, 0.9168, 0.0357]",Neutral
ดหนัา,0.8605,"[0.1323, 0.8605, 0.0072]",Neutral
ทยิ,0.8819,"[0.1073, 0.8819, 0.0108]",Neutral
ท้อ,0.7827,"[0.0122, 0.2051, 0.7827]",Negative
blossom,0.9181,"[0.0692, 0.9181, 0.0127]",Neutral
like,0.9088,"[0.0804, 0.9088, 0.0108]",Neutral
never,0.8897,"[0.0865, 0.8897, 0.0238]",Neutral
ยกทัพ,0.9305,"[0.0585, 0.9305, 0.0111]",Neutral
เอเจนซี,0.9611,"[0.018, 0.9611, 0.0209]",Neutral
สถาบันการศึกษา,0.9805,"[0.0135, 0.9805, 0.006]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
ออกรถ,0.9313,"[0.0626, 0.9313, 0.0061]",Neutral
ดีล,0.8563,"[0.1356, 0.8563, 0.0081]",Neutral
motor,0.9452,"[0.0429, 0.9452, 0.0119]",Neutral
ออกรถ,0.9313,"[0.0626, 0.9313, 0.0061]",Neutral
เริ่มต้น,0.9309,"[0.0612, 0.9309, 0.0079]",Neutral
ผ่อน,0.9487,"[0.0418, 0.9487, 0.0094]",Neutral
advice,0.9633,"[0.0193, 0.9633, 0.0174]",Neutral
ซ่อม,0.8999,"[0.045, 0.8999, 0.0551]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
ค่าแรง,0.8384,"[0.0441, 0.8384, 0.1175]",Neutral
มือถือ,0.9638,"[0.0281, 0.9638, 0.0081]",Neutral
จอง,0.7731,"[0.2216, 0.7731, 0.0053]",Neutral
โปรโมชัน,0.9674,"[0.0265, 0.9674, 0.0061]",Neutral
เดือน,0.9313,"[0.0576, 0.9313, 0.0111]",Neutral
ไอเทม,0.9391,"[0.0542, 0.9391, 0.0068]",Neutral
เด็ด,0.4986,"[0.4942, 0.4986, 0.0072]",Neutral
ช้อป,0.867,"[0.1232, 0.867, 0.0099]",Neutral
ผ่อน,0.9487,"[0.0418, 0.9487, 0.0094]",Neutral
ชัมเมอร์,0.8934,"[0.0952, 0.8934, 0.0114]",Neutral
สูด,0.8027,"[0.184, 0.8027, 0.0132]",Neutral
night,0.8331,"[0.1488, 0.8331, 0.0181]",Neutral
ล่อง,0.8545,"[0.1271, 0.8545, 0.0184]",Neutral
กล่อง,0.9619,"[0.0338, 0.9619, 0.0043]",Neutral
ล่อง,0.8545,"[0.1271, 0.8545, 0.0184]",Neutral
